,count,mean,std,min,1%,5%,50%,95%,99%,max
Band_134,215604.0,0.1657014420002873,0.07708203449225388,0.0060999998822808,0.0157999992370605,0.0546000003814697,0.163000002503395,0.290600001811981,0.332399994134903,0.568199992179871
Band_135,215604.0,0.17208722659174913,0.07797321531815923,0.0062000001780688,0.0165999997407198,0.05799999833107,0.170699998736382,0.297300010919571,0.339300006628037,0.57889997959137
Band_136,215604.0,0.17695134276125202,0.07827829031400771,0.0049000000581145,0.0172000005841255,0.060699999332428,0.177000001072884,0.301499992609024,0.34349998831749,0.580399990081787
Band_137,215604.0,0.1817381704338407,0.07865291727451543,0.0071000000461936,0.0182000007480383,0.0632999986410141,0.182899996638298,0.305999994277954,0.348199993371964,0.585600018501282
Band_138,215604.0,0.18692802129423214,0.0793053382475164,0.0062000001780688,0.0192000009119511,0.066200003027916,0.1891999989748,0.311199992895126,0.353899985551834,0.593400001525879
Band_139,215604.0,0.19162942432105823,0.07986394536068557,0.0076999999582767,0.0207000002264977,0.0688000023365021,0.194900006055832,0.3158999979496,0.35909701347351114,0.59799998998642
Band_140,215604.0,0.19543122483309064,0.08001657169045338,0.0071000000461936,0.0221999995410442,0.0710000023245812,0.199399992823601,0.319099992513657,0.362300008535385,0.603200018405914
Band_141,215604.0,0.20072688541924,0.08114809067713506,0.0081000002101063,0.0239000003784895,0.0737000033259392,0.205400004982948,0.325500011444092,0.369199991226196,0.611599981784821
Band_142,215604.0,0.20514042363576124,0.08194392953163752,0.0083999997004866,0.0253999996930361,0.0760999992489815,0.210299998521805,0.330599993467331,0.374900013208389,0.617699980735779
Band_143,215604.0,0.2099312744664315,0.082816570501875,0.0078999996185302,0.0266999993473291,0.0788000002503395,0.215499997138977,0.33610001206398,0.380699992179871,0.624400019645691
Band_144,215604.0,0.21355354029351778,0.08367121919472964,0.0074999998323619,0.02750299984589222,0.0806000009179115,0.219400003552437,0.340499997138977,0.385300010442734,0.63129997253418
Band_145,215604.0,0.21702108681943869,0.0844325426371876,0.0057000000961124,0.0285999998450279,0.0824000015854836,0.223199993371964,0.344799995422363,0.390199989080429,0.637700021266937
Band_146,215604.0,0.21924333267903218,0.08472776679594403,0.0059000002220273,0.0296999998390675,0.0838999971747398,0.225500002503395,0.347299993038178,0.39269698709249484,0.637799978256226
Band_147,215604.0,0.22167713354040247,0.0853420292906447,0.0091000003740191,0.0309999994933605,0.0851999968290329,0.228100001811981,0.350699990987778,0.396100014448166,0.641499996185303
Band_148,215604.0,0.2217597855289461,0.08548060326344709,0.0080000003799796,0.0320999994874001,0.0850000008940697,0.228100001811981,0.351099997758865,0.396699994802475,0.646399974822998
Band_149,215604.0,0.2229535584088423,0.08553941547046487,0.008500000461936,0.0337999984622002,0.0860000029206276,0.229300007224083,0.352400004863739,0.398099988698959,0.650799989700317
Band_150,215604.0,0.22046225720467194,0.08459328699398752,0.0089999996125698,0.0346999987959862,0.0851999968290329,0.226699993014336,0.348800003528595,0.39410001039505,0.64520001411438
